,cod,location
0,0,Afghanistan
1,1,Albania
2,2,Algeria
3,3,Andorra
4,4,Angola
5,5,Anguilla
6,6,Antigua and Barbuda
7,7,Argentina
8,8,Armenia
9,9,Aruba
10,10,Australia
11,11,Austria
12,12,Azerbaijan
13,13,Bahamas
14,14,Bahrain
15,15,Bangladesh
16,16,Barbados
17,17,Belarus
18,18,Belgium
19,19,Belize
20,20,Benin
21,21,Bermuda
22,22,Bhutan
23,23,Bolivia
24,24,Bonaire Sint Eustatius and Saba
25,25,Bosnia and Herzegovina
26,26,Botswana
27,27,Brazil
28,28,British Virgin Islands
29,29,Brunei
30,30,Bulgaria
31,31,Burkina Faso
32,32,Burundi
33,33,Cambodia
34,34,Cameroon
35,35,Canada
36,36,Cape Verde
37,37,Cayman Islands
38,38,Central African Republic
39,39,Chad
40,40,Chile
41,41,China
42,42,Colombia
43,43,Comoros
44,44,Congo
45,45,Costa Rica
46,46,Cote d'Ivoire
47,47,Croatia
48,48,Cuba
49,49,Curacao
50,50,Cyprus
51,51,Czech Republic
52,52,Democratic Republic of Congo
53,53,Denmark
54,54,Djibouti
55,55,Dominica
56,56,Dominican Republic
57,57,Ecuador
58,58,Egypt
59,59,El Salvador
60,60,Equatorial Guinea
61,61,Eritrea
62,62,Estonia
63,63,Ethiopia
64,64,Faeroe Islands
65,65,Falkland Islands
66,66,Fiji
67,67,Finland
68,68,France
69,69,French Polynesia
70,70,Gabon
71,71,Gambia
72,72,Georgia
73,73,Germany
74,74,Ghana
75,75,Gibraltar
76,76,Greece
77,77,Greenland
78,78,Grenada
79,79,Guam
80,80,Guatemala
81,81,Guernsey
82,82,Guinea
83,83,Guinea-Bissau
84,84,Guyana
85,85,Haiti
86,86,Honduras
87,87,Hong Kong
88,88,Hungary
89,89,Iceland
90,90,India
91,91,Indonesia
92,93,Iran
93,94,Iraq
94,95,Ireland
95,96,Isle of Man
96,97,Israel
97,98,Italy
98,99,Jamaica
99,100,Japan
100,101,Jersey
101,102,Jordan
102,103,Kazakhstan
103,104,Kenya
104,105,Kosovo
105,106,Kuwait
106,107,Kyrgyzstan
107,108,Laos
108,109,Latvia
109,110,Lebanon
110,111,Lesotho
111,112,Liberia
112,113,Libya
113,114,Liechtenstein
114,115,Lithuania
115,116,Luxembourg
116,117,Macedonia
117,118,Madagascar
118,119,Malawi
119,120,Malaysia
120,121,Maldives
121,122,Mali
122,123,Malta
123,124,Mauritania
124,125,Mauritius
125,126,Mexico
126,127,Moldova
127,128,Monaco
128,129,Mongolia
129,130,Montenegro
130,131,Montserrat
131,132,Morocco
132,133,Mozambique
133,134,Myanmar
134,135,Namibia
135,136,Nepal
136,137,Netherlands
137,138,New Caledonia
138,139,New Zealand
139,140,Nicaragua
140,141,Niger
141,142,Nigeria
142,143,Northern Mariana Islands
143,144,Norway
144,145,Oman
145,146,Pakistan
146,147,Palestine
147,148,Panama
148,149,Papua New Guinea
149,150,Paraguay
150,151,Peru
151,152,Philippines
152,153,Poland
153,154,Portugal
154,155,Puerto Rico
155,156,Qatar
156,157,Romania
157,158,Russia
158,159,Rwanda
159,160,Saint Kitts and Nevis
160,161,Saint Lucia
161,162,Saint Vincent and the Grenadines
162,163,San Marino
163,164,Sao Tome and Principe
164,165,Saudi Arabia
165,166,Senegal
166,167,Serbia
167,168,Seychelles
168,169,Sierra Leone
169,170,Singapore
170,171,Sint Maarten (Dutch part)
171,172,Slovakia
172,173,Slovenia
173,174,Somalia
174,175,South Africa
175,176,South Korea
176,177,South Sudan
177,178,Spain
178,179,Sri Lanka
179,180,Sudan
180,181,Suriname
181,182,Swaziland
182,183,Sweden
183,184,Switzerland
184,185,Syria
185,186,Taiwan
186,187,Tajikistan
187,188,Tanzania
188,189,Thailand
189,190,Timor
190,191,Togo
191,192,Trinidad and Tobago
192,193,Tunisia
193,194,Turkey
194,195,Turks and Caicos Islands
195,196,Uganda
196,197,Ukraine
197,198,United Arab Emirates
198,199,United Kingdom
199,200,United States
200,201,United States Virgin Islands
201,202,Uruguay
202,203,Uzbekistan
203,204,Vatican
204,205,Venezuela
205,206,Vietnam
206,207,Western Sahara
207,209,Yemen
208,210,Zambia
209,211,Zimbabwe
210,208,World
211,92,International
